man,manLabel
http://www.wikidata.org/entity/Q86380,Bazon Brock
http://www.wikidata.org/entity/Q86397,Jakob von Falke
http://www.wikidata.org/entity/Q86432,Albert Ilg
http://www.wikidata.org/entity/Q86490,George Saiko
http://www.wikidata.org/entity/Q86652,Eduard Müller
http://www.wikidata.org/entity/Q86707,Gerhard Krahmer
http://www.wikidata.org/entity/Q86809,Ludwig von Urlichs
http://www.wikidata.org/entity/Q86936,Julius Lessing
http://www.wikidata.org/entity/Q86950,Johann Gottlob von Quandt
http://www.wikidata.org/entity/Q87123,Conrad Bursian
http://www.wikidata.org/entity/Q87202,Moritz Thausing
http://www.wikidata.org/entity/Q87401,Fritz Novotny
http://www.wikidata.org/entity/Q87598,Werner Haftmann
http://www.wikidata.org/entity/Q87623,Johann Rudolf Czernin von und zu Chudenitz
http://www.wikidata.org/entity/Q87808,Hans Schleif
http://www.wikidata.org/entity/Q87833,Otto Walter
http://www.wikidata.org/entity/Q87902,Karl Bötticher
http://www.wikidata.org/entity/Q87928,Klaus Biesenbach
http://www.wikidata.org/entity/Q88026,Ernst Kris
http://www.wikidata.org/entity/Q88029,August Reichensperger
http://www.wikidata.org/entity/Q88130,Otto Benesch
http://www.wikidata.org/entity/Q88187,Tobias G. Natter
http://www.wikidata.org/entity/Q88521,Friedrich von Kenner
http://www.wikidata.org/entity/Q88669,Hubert Burda
http://www.wikidata.org/entity/Q88907,Ernst Kitzinger
http://www.wikidata.org/entity/Q89084,"Robert, Freiherr von Heine-Geldern"
http://www.wikidata.org/entity/Q89302,Oskar Pollak
http://www.wikidata.org/entity/Q89310,Adolf Mahr
http://www.wikidata.org/entity/Q89416,Felix Braun
http://www.wikidata.org/entity/Q89577,Franz Miltner
http://www.wikidata.org/entity/Q89629,Werner Hofmann
http://www.wikidata.org/entity/Q89663,Franz Caramelle
http://www.wikidata.org/entity/Q89669,Peter Gorsen
http://www.wikidata.org/entity/Q89687,Karl Woermann
http://www.wikidata.org/entity/Q89718,Josef Weingartner
http://www.wikidata.org/entity/Q89993,Robert Eisler
http://www.wikidata.org/entity/Q90058,Alfred von Wurzbach
http://www.wikidata.org/entity/Q90185,Ferdinand Eckhardt
http://www.wikidata.org/entity/Q90219,Eduard von Sacken
http://www.wikidata.org/entity/Q90230,Carl Schnaase
http://www.wikidata.org/entity/Q90407,Richard Krautheimer
http://www.wikidata.org/entity/Q90429,Friedrich Schlie
http://www.wikidata.org/entity/Q90497,John Rewald
http://www.wikidata.org/entity/Q90629,Carl Koch
http://www.wikidata.org/entity/Q90740,Andreas Rumpf
http://www.wikidata.org/entity/Q90748,Ralf van Bühren
http://www.wikidata.org/entity/Q90806,Karl Reinhold Köstlin
http://www.wikidata.org/entity/Q90813,Wolfgang Schivelbusch
http://www.wikidata.org/entity/Q90859,Botho Graef
http://www.wikidata.org/entity/Q90881,Gustav Körte
http://www.wikidata.org/entity/Q90899,Richard Foerster
http://www.wikidata.org/entity/Q90906,Alfred Woltmann
http://www.wikidata.org/entity/Q90914,Wilhelm Lübke
http://www.wikidata.org/entity/Q91000,Julius Posener
http://www.wikidata.org/entity/Q1441774,Francis Watson
http://www.wikidata.org/entity/Q1442262,Samuel Wittwer
